"","ID","focal","competitor","density","competition","inoculum","decay","treatment","tot_focal","tot_comp","Above_focal","Above_comp","Below_focal","Below_comp","Remove_density","Above_focal_initial","Below_focal_initial","tot_focal_initial","Above_comp_initial","Below_comp_initial","tot_comp_initial","moss"
"247","247","ENGERO","ENGERO",2,"conspecific","unsterilized+dead","dead","unsterilized",0.113346087021124,0.413323912978876,0.09014,0.31367,0.0232060870211238,0.0996539129788762,0,0.0135813333333333,0.004368,0.0179493333333333,0.0135813333333333,0.004368,0.0179493333333333,100
"248","248","ENGERO","ENGERO",4,"conspecific","unsterilized+dead","dead","unsterilized",0.255151251556467,0.955218748443533,0.1883,0.76739,0.0668512515564671,0.187828748443533,0,0.0135813333333333,0.004368,0.0179493333333333,0.0135813333333333,0.004368,0.0179493333333333,100
"249","249","MACHZU","ENGERO",0,"heterospecific","sterilized+dead","dead","sterilized",0.47266,0,0.28838,0,0.18428,0,0,0.0587506666666667,0.0310586666666667,0.0898093333333333,0.0135813333333333,0.004368,0.0179493333333333,15
"250","250","MACHZU","ENGERO",1,"heterospecific","sterilized+dead","dead","sterilized",0.18619,0.1532,0.09222,0.12549,0.09397,0.02771,0,0.0587506666666667,0.0310586666666667,0.0898093333333333,0.0135813333333333,0.004368,0.0179493333333333,0
"251","251","MACHZU","ENGERO",2,"heterospecific","sterilized+dead","dead","sterilized",0.28057,0.77292,0.18146,0.60976,0.09911,0.16316,0,0.0587506666666667,0.0310586666666667,0.0898093333333333,0.0135813333333333,0.004368,0.0179493333333333,0
"252","252","MACHZU","ENGERO",4,"heterospecific","sterilized+dead","dead","sterilized",0.20478,0.99837,0.12398,0.79916,0.0808,0.19921,0,0.0587506666666667,0.0310586666666667,0.0898093333333333,0.0135813333333333,0.004368,0.0179493333333333,0
"253","253","ENGERO","ENGERO",0,"conspecific","sterilized+dead","dead","sterilized",0.37951,0,0.32244,0,0.05707,0,0,0.0135813333333333,0.004368,0.0179493333333333,0.0135813333333333,0.004368,0.0179493333333333,0
"254","254","ENGERO","ENGERO",1,"conspecific","sterilized+dead","dead","sterilized",0.226022185115738,0.161597814884262,0.18233,0.12699,0.0436921851157377,0.0346078148842623,0,0.0135813333333333,0.004368,0.0179493333333333,0.0135813333333333,0.004368,0.0179493333333333,0
"255","255","ENGERO","ENGERO",2,"conspecific","sterilized+dead","dead","sterilized",0.367516038894575,0.491883961105425,0.29675,0.38715,0.0707660388945752,0.104733961105425,0,0.0135813333333333,0.004368,0.0179493333333333,0.0135813333333333,0.004368,0.0179493333333333,0
"256","256","ENGERO","ENGERO",4,"conspecific","sterilized+dead","dead","sterilized",0.208811077083417,1.33782892291658,0.17806,1.06929,0.0307510770834168,0.268538922916583,0,0.0135813333333333,0.004368,0.0179493333333333,0.0135813333333333,0.004368,0.0179493333333333,0
